Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.22.11-104.16.174.226-15818-443-6,192.168.22.11,15818,104.16.174.226,443,6,20/08/2025 11:07:22 下午,286,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,220279.72027972026,10489.510489510489,143.0,185.26197667087544,274.0,12.0,12.0,12.0,0.0,12.0,12.0,0,0,0,0,0,0,1,0,0,40,20,6993.006993006993,3496.5034965034965,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,255,1,0,0,0,0,0,0,0,0,0,No Label
156.225.96.195-192.168.22.11-443-15704-6,192.168.22.11,15704,156.225.96.195,443,6,20/08/2025 11:07:22 下午,807,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,78066.91449814127,3717.472118959108,403.5,560.7356774809322,800.0,7.0,7.0,7.0,0.0,7.0,7.0,0,0,0,0,0,0,1,0,0,40,20,2478.3147459727384,1239.1573729863692,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,2047,1,0,0,0,0,0,0,0,0,0,No Label
142.250.198.66-192.168.22.11-443-15815-6,192.168.22.11,15815,142.250.198.66,443,6,20/08/2025 11:07:22 下午,823,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,76549.21020656137,3645.2004860267316,411.5,573.46359954229,817.0,6.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,0,0,1,0,0,40,20,2430.1336573511544,1215.0668286755772,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-104.16.174.226-15818-443-6,104.16.174.226,443,192.168.22.11,15818,6,20/08/2025 11:07:22 下午,1554,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287.001287001287,1554.0,0.0,1554.0,1554.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,643.5006435006435,643.5006435006435,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,17,0,0,0,0,0,0,0,0,0,0,No Label
142.250.198.66-192.168.22.11-443-15815-6,142.250.198.66,443,192.168.22.11,15815,6,20/08/2025 11:07:22 下午,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1047,0,0,0,0,0,0,0,0,0,0,No Label
156.225.96.195-192.168.22.11-443-15704-6,156.225.96.195,443,192.168.22.11,15704,6,20/08/2025 11:07:22 下午,1207,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657.0008285004144,1207.0,0.0,1207.0,1207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,828.5004142502072,828.5004142502072,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,165,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-204.80.128.1-16080-443-6,192.168.22.11,16080,204.80.128.1,443,6,20/08/2025 11:06:50 下午,32052284,14,14,1631.0,45.0,447.0,0.0,116.5,107.94353937270952,45.0,0.0,3.2142857142857144,12.026755886059098,52.28956538635437,0.8735726914188081,1187121.6296296297,2213835.134330505,5891511.0,31.0,3.200382E7,2461832.307692307,2735438.4823024683,5939766.0,2016.0,3.2050217E7,2465401.307692308,2735854.3183172964,5942407.0,47220.0,0,1,0,0,280,280,0.43678634570940406,0.43678634570940406,0.0,447.0,59.3448275862069,93.23598165870335,8692.948275862069,0,0,0,1,1,0,0,0,1.0,61.464285714285715,116.5,3.2142857142857144,0,0,0,0,0,0,14,1631,14,45,-1,42,13,0,1.01094225E7,1.4158228666963976E7,2.0120802E7,98043.0,5890238.0,1800.29386490095,5891511.0,5888965.0,No Label
192.168.22.11-204.80.128.1-16080-443-6,204.80.128.1,443,192.168.22.11,16080,6,20/08/2025 11:07:23 下午,8398,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.15194093831866,8398.0,0.0,8398.0,8398.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,119.07597046915933,119.07597046915933,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,42,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-104.18.19.80-29529-443-6,192.168.22.11,29529,104.18.19.80,443,6,20/08/2025 11:07:23 下午,63618,6,9,197.0,3991.0,109.0,0.0,32.83333333333333,44.91065204009698,1460.0,0.0,443.4444444444444,619.166599371912,65830.42535131567,235.7823257568613,4544.142857142857,6622.301457454696,17743.0,0.0,45787.0,9157.4,13951.972666974374,32682.0,33.0,62574.0,7821.749999999999,7657.0288857456235,17743.0,0.0,0,0,0,0,120,204,94.31293030274452,141.46939545411678,0.0,1460.0,261.75,500.47104478347865,250471.26666666666,0,1,0,0,0,0,0,0,1.0,279.2,32.833333333333336,443.44444444444446,0,0,0,0,0,0,6,197,9,3991,-1,17,3,0,0,0,0,0,0,0,0,0,No Label
142.250.77.14-192.168.22.11-443-15837-6,192.168.22.11,15837,142.250.77.14,443,6,20/08/2025 11:07:23 下午,1081,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,58279.37095282147,2775.208140610546,540.5,738.9265863399422,1063.0,18.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,0,0,1,0,0,40,20,1850.1387604070308,925.0693802035154,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,254,1,0,0,0,0,0,0,0,0,0,No Label
